r,l,t
3748.7352407574654,734,7.717818737030029
579.5741978883743,206,10.15614628791809
5001.7917313575745,4500,63.48498845100403
1064.2917366623878,158,65.19532561302185
635.5396274924278,101,66.36801147460938
3734.5067467093468,763,75.63639402389526
593.8026993274689,120,77.21283102035522
1032.0404768586159,120,78.63771963119507
5172.533704161644,4500,126.71787548065186
554.9114678502083,121,128.0994291305542
3738.301015496254,1134,140.93273282051086
631.7453646659851,103,142.17756748199463
3745.88954359293,674,149.88237762451172
3629.2158486247063,1035,160.8619019985199
614.671164214611,91,161.874516248703
4164.2074239254,1604,178.71242952346802
585.2655982375145,153,180.4056098461151
5198.145028829575,2742,210.01959037780762
5111.82546800375,4500,600.9426984786987
1032.040471792221,104,612.2696123123169
1032.0404707193375,95,623.738442659378
1031.0919085144997,106,636.1279985904694
2827.6770654320717,4500,1087.162578344345
2827.677072227001,4500,1513.2908442020416
4159.464584112167,1957,1694.2919480800629
1030.1433377861977,231,1715.8754019737244
2817.242838859558,4500,2124.825667142868
5157.356659591198,4500,2532.522710800171
4155.670324146748,614,2589.342564344406
4345.383648276329,598,2644.105189561844
3748.7352492809296,1182,2751.7717804908752
3747.786682486534,449,2792.3888380527496
3742.0952840447426,438,2832.3598182201385
4339.692239820957,992,2922.727400302887
4346.3322122097015,816,2996.9554891586304
4247.681287705898,424,3035.4966270923615
8018.233566761017,4500,3442.942151784897
4338.743679404259,600,3497.093850851059
3749.6838080883026,514,3543.451033115387
5059.654282391071,4500,3953.4096274375916
5153.562342464924,4500,4363.945673704147
3639.650086760521,438,4403.590918540955
9823.16669780016,796,4475.165733098984
3734.5067470669746,389,4510.652738809586
3662.4156856536865,353,4543.122801542282
3734.5067506432533,331,4573.405625343323
7695.720909178257,4500,4993.371756076813
4340.6408106684685,384,5034.509324550629
5080.522758543491,4500,5502.642117023468
5143.128159344196,4500,5975.846651315689
5026.454464137554,4500,6445.510879039764
5002.740311384201,4500,6911.271604776382
4351.075045764446,335,6944.901018381119
5040.682969689369,4500,7416.248103618622
3735.455314695835,430,7461.644991159439
5081.471342325211,4500,7939.9330043792725
4865.198159694672,4500,8417.19489121437
5108.9797676205635,4500,8889.466477394104
3742.0952844023705,724,8968.805379152298
4354.869314551353,526,9020.254206895828
5040.682967066765,4500,9498.08308506012
5075.779935181141,4500,9997.946651220322
4252.42411595583,525,10049.987359523773
4151.876058936119,529,10112.966636180878
5001.791732013226,4500,10604.976344108582
4220.172863125801,4500,11117.10872387886
5006.534578979015,4500,11654.127955436707
4760.855826020241,4500,12178.994007110596
4570.193936824799,4500,12706.800068855286
4258.115522861481,529,12786.71338224411
4245.784148693085,533,12849.854090929031
4173.693088173866,619,12934.523471832275
4340.6408151984215,568,13006.050021648407
9780.277817308903,989,13134.571787118912
4340.640816152096,353,13174.606110095978
640.2824623584747,77,13184.333209991455
1028.246209681034,97,13196.066890478134
7683.389567673206,4500,13753.063203811646
3660.5185619592667,475,13811.414428710938
3742.095281660557,365,13864.044637918472
4148.081793725491,1739,14078.50278019905
4797.849912643433,2039,14354.245623588562
4624.262226700783,4500,14959.821416854858
4621.416539132595,4500,15578.856377363205
3746.838109791279,384,15627.333915948868
4613.827993988991,4500,16331.475907325745
4606.239455342293,4500,17015.48620033264
4609.085151255131,4500,17705.925765275955
9836.777762770653,735,17835.28585743904
4346.332217931747,439,17896.88988661766
4598.650932967663,4500,18709.475306987762
4590.113824605942,4500,19470.06669974327
9855.444431304932,651,19589.545316934586
4187.921598255634,4500,20467.75964474678
4616.673704326153,4500,21289.31467986107
4593.908105611801,4500,22213.970623016357
4575.885327100754,4500,23178.823137044907
4680.227657079697,689,23324.703231334686
