l,t
1000,11.06255292892456
2000,25.647886991500854
3000,36.43376541137695
4000,48.539199352264404
5000,58.898743629455566
6000,69.8470573425293
7000,81.95238876342773
8000,92.59799289703369
9000,103.31205439567566
10000,114.18807125091553
11000,124.49567890167236
12000,135.42091393470764
13000,147.08063173294067
14000,157.92303705215454
15000,168.54679703712463
16000,179.15922498703003
17000,189.97958493232727
18000,200.8308231830597
19000,211.55343294143677
20000,223.21345686912537
21000,340.188027381897
22000,451.63927006721497
23000,562.2444803714752
24000,679.7665176391602
25000,785.3277671337128
26000,879.1216547489166
27000,976.5690155029297
28000,1071.9660410881042
29000,1172.8453874588013
30000,1265.9120361804962
31000,1359.4442348480225
32000,1451.6699421405792
33000,1543.6769437789917
34000,1637.0063314437866
35000,1729.688754081726
36000,1820.4720284938812
37000,1911.4227211475372
38000,2003.1403250694275
39000,2093.1723008155823
40000,2183.8108994960785
41000,2272.9430248737335
42000,2364.2324600219727
43000,2455.458820581436
44000,2546.111312389374
45000,2638.3075664043427
46000,2729.493954896927
47000,2820.460679292679
48000,2911.3644738197327
49000,3002.3871552944183
50000,3094.084441423416
51000,3183.7926375865936
52000,3274.177627801895
53000,3364.014628648758
54000,3455.208590745926
55000,3545.448893547058
56000,3636.7038955688477
57000,3727.947325229645
58000,3819.062064886093
59000,3909.591457128525
60000,4001.550922393799
61000,4094.1283531188965
62000,4184.772292852402
63000,4275.48575091362
64000,4365.947164058685
65000,4456.204115867615
66000,4547.366933822632
67000,4638.378367424011
68000,4730.409281015396
69000,4822.054991006851
70000,4913.868282556534
71000,5016.752769708633
72000,5120.635139942169
73000,5223.818232297897
74000,5328.184894323349
75000,5431.787054538727
76000,5539.311802148819
77000,5642.729788780212
78000,5746.856343984604
79000,5852.457781791687
80000,5957.951760053635
81000,6062.3727214336395
82000,6166.586463689804
83000,6270.476940155029
84000,6374.454373836517
85000,6480.399893283844
86000,6585.053412437439
87000,6688.758801460266
88000,6790.038058042526
89000,6893.535799503326
90000,6996.240686893463
91000,7101.670558929443
92000,7205.390533447266
93000,7309.757189273834
94000,7415.698772907257
95000,7521.590933561325
96000,7627.041944503784
97000,7732.960377693176
98000,7840.164837837219
99000,7946.822407007217
100000,8051.026214122772
101000,8156.91463470459
102000,8265.233447313309
103000,8371.344115495682
104000,8474.901605844498
105000,8582.023681402206
106000,8688.236944675446
107000,8794.543736934662
108000,8896.532956838608
109000,9002.768575429916
110000,9106.404797554016
111000,9207.529404640198
112000,9316.113995790482
113000,9424.225385427475
114000,9530.362469673157
115000,9641.691591501236
116000,9753.646919727325
117000,9863.271921634674
118000,9978.147702932358
119000,10087.386848449707
120000,10193.36551117897
121000,10303.176193714142
122000,10412.711567878723
123000,10525.16197347641
124000,10639.975026130676
125000,10745.928592443466
126000,10856.933706521988
127000,10974.531900644302
128000,11091.02394747734
129000,11211.705350875854
130000,11331.90734410286
131000,11444.235507965088
132000,11563.981220960617
133000,11683.70090842247
134000,11802.449958086014
135000,11920.260882616043
136000,12035.370931148529
137000,12147.441084384918
138000,12263.662801504135
139000,12383.65440416336
140000,12500.872742176056
141000,12602.904378175735
142000,12738.216839551926
143000,12873.68639421463
144000,13007.620632886887
145000,13137.267034769058
146000,13264.719495296478
147000,13389.46770143509
148000,13505.861540317535
149000,13625.581894159317
150000,13752.629861354828
151000,13882.028381586075
152000,14010.845559597015
153000,14141.980019569397
154000,14269.02301287651
155000,14398.821206569672
156000,14534.214034795761
157000,14668.803304433823
158000,14806.30684041977
159000,14945.046397924423
160000,15080.983653068542
161000,15221.792474508286
162000,15344.555923461914
163000,15485.846472978592
164000,15626.603013277054
165000,15773.110251188278
166000,15923.940522670746
167000,16078.73379945755
168000,16244.971623420715
169000,16405.165430784225
170000,16558.553552150726
171000,16710.38758468628
172000,16864.133224010468
173000,17014.54863023758
174000,17168.225190639496
175000,17325.432732105255
176000,17477.855182647705
177000,17632.798389673233
178000,17794.33070707321
179000,17951.28511571884
180000,18149.557030439377
181000,18332.017364501953
182000,18513.140557289124
183000,18682.46554541588
184000,18852.989892959595
185000,19022.166591644287
186000,19194.147660255432
187000,19367.33659720421
188000,19540.881475925446
189000,19711.78790450096
190000,19887.737453222275
191000,20084.92919611931
192000,20272.19794011116
193000,20495.079865932465
194000,20678.361870527267
195000,20860.144931554794
196000,21045.86198759079
197000,21236.740318775177
198000,21423.88497376442
199000,21614.30326986313
200000,21821.219085216522
201000,22033.466647863388
202000,22241.477706193924
203000,22447.987100362778
204000,22664.882089614868
205000,22884.32191991806
206000,23098.7410736084
207000,23321.27583551407
208000,23625.773178339005
209000,24108.039963245392
